Category,Vendor/Description,Amount,Payment Source,Notes
AI/ML Services,OpenAI,2260.00,Mercury,
AI/ML Services,Cursor,2093.52,Mercury,
AI/ML Services,Anthropic,920.00,Mercury,
AI/ML Services,"Midjourney ElevenLabs OpenRouter Suno Wispr Meshy Runway",271.80,Mercury,Balance of AI/ML category
Contractor Payments,Sound Strats LLC,2000.00,Mercury,
Developer Tools,Bitrise,1359.00,Mercury,
Developer Tools,GitHub,276.65,Mercury,
Productivity & Collaboration,Google Workspace,506.76,Mercury,
Productivity & Collaboration,Notion,473.35,Mercury,
Productivity & Collaboration,Slack,266.50,Mercury,
Office Furniture & Equipment,Ergonomic chair,549.99,Personal (Amazon),
Office Furniture & Equipment,CHUWI laptop,342.19,Personal (Amazon),
Office Furniture & Equipment,Keyboard,114.48,Personal (Amazon),
Office Furniture & Equipment,Chair mat,49.99,Personal (Amazon),
Office Furniture & Equipment,Tax research books,57.28,Personal (Amazon),
Office Furniture & Equipment,Power strip,19.99,Personal (Amazon),
Office Furniture & Equipment,Mouse,16.80,Personal (Amazon),
Hosting & Infrastructure,Heroku,986.91,Mercury,
Hosting & Infrastructure,Google Cloud,2.12,Mercury,
Equipment & Supplies,Windows laptop for application testing,975.43,Mercury,
Design Tools,Framer,360.00,Mercury,
Design Tools,Sketch,120.00,Mercury,
Design Tools,Whimsical,96.00,Mercury,
Marketing & Advertising,Google Ads,290.27,Mercury,
Marketing & Advertising,Twitter/X,280.00,Mercury,
Domains & Web Services,GoDaddy domain registrations,414.80,Mercury,
Legal Services,LegalZoom registered agent (12 months),384.00,Personal (Privacy.com),
Other Software,Adobe,68.97,Mercury,
Other Software,LastPass,36.00,Mercury,
Other Software,"Lemon Squeezy Stripe VPN Agora.io",147.42,Mercury,Balance of Other category
,,,,
TOTAL,,15740.22,,
Mercury subtotal,,14205.50,Mercury,Corporate debit card
Kurt personal subtotal,,1534.72,Personal,"To be reimbursed ($1,150.72 Amazon + $384.00 Privacy.com)"
