Date,Description,Amount,Source,Balance,Notes
2022-08-01,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3000.00,083122 WellsFargo.pdf,,
2022-08-01,Wire Trans Svc Charge,-15.00,083122 WellsFargo.pdf,,
2022-08-01,Purchase - Uber Trip Help.Uber.Com CA,-64.20,083122 WellsFargo.pdf,,
2022-08-01,Purchase - Sp Forgotten Runes Merch.Forgott TX,-7.00,083122 WellsFargo.pdf,,
2022-08-01,Purchase - Wholefds Pch 102 760 S SE El Segundo CA,-18.38,083122 WellsFargo.pdf,,
2022-08-01,Purchase - Wholefds Pch 10225 El Segundo CA,-4.08,083122 WellsFargo.pdf,,
2022-08-01,Purchase - Apple.Com/Bill 866-712-7753 CA,-8.97,083122 WellsFargo.pdf,,
2022-08-01,Purchase - Ic* Instacart Httpsinstacar CA,-34.57,083122 WellsFargo.pdf,,
2022-08-01,Pwp Amazon Tips Privacycom,-5.00,083122 WellsFargo.pdf,,
2022-08-01,Pwp Amazon Tips Privacycom,-7.00,083122 WellsFargo.pdf,,
2022-08-01,Pwp Amazon Tips Privacycom,-7.00,083122 WellsFargo.pdf,,
2022-08-01,Pwp Amzn Mktp U Privacycom,-10.66,083122 WellsFargo.pdf,,
2022-08-01,Pwp Amazon.Com* Privacycom,-21.33,083122 WellsFargo.pdf,,
2022-08-01,Pwp Dnh*Godaddy Privacycom,-26.51,083122 WellsFargo.pdf,,
2022-08-01,Pwp Google*Doma Privacycom,-36.00,083122 WellsFargo.pdf,,
2022-08-01,Pwp Amazon.Com* Privacycom,-79.09,083122 WellsFargo.pdf,,
2022-08-01,Pwp Amazon.Com* Privacycom,-92.35,083122 WellsFargo.pdf,,
2022-08-01,Pwp Amzn Mktp U Privacycom,-101.98,083122 WellsFargo.pdf,252131.58,
2022-08-02,Pwp Udemy Subsc Privacycom,-29.99,083122 WellsFargo.pdf,,
2022-08-02,Pwp Dnh*Godaddy Privacycom,-49.99,083122 WellsFargo.pdf,,
2022-08-02,Pwp Amazon.Com* Privacycom,-106.80,083122 WellsFargo.pdf,,
2022-08-02,Mortgage Serv CT Mtg Paymt 080122,-5000.00,083122 WellsFargo.pdf,,
2022-08-02,Pwp Amzn Mktp U Privacycom,-263.81,083122 WellsFargo.pdf,,
2022-08-02,Pwp Heroku May- Privacycom,-278.09,083122 WellsFargo.pdf,246402.90,
2022-08-03,ATM Withdrawal - 10920 Wilshire Blvd Los Angeles CA,-1000.00,083122 WellsFargo.pdf,,
2022-08-03,Pwp Amazon Tips Privacycom,-7.00,083122 WellsFargo.pdf,,
2022-08-03,Pwp Amazon.Com* Privacycom,-64.35,083122 WellsFargo.pdf,,
2022-08-03,Pwp Amzn Mktp U Privacycom,-66.82,083122 WellsFargo.pdf,245264.73,
2022-08-04,Purchase - Geico *Auto 800-841-3000 DC,-270.96,083122 WellsFargo.pdf,,
2022-08-04,Purchase - Airbnb Hmsanhdk5N Airbnb.Com CA,-512.47,083122 WellsFargo.pdf,,
2022-08-04,Purchase - Wholefds Wwd 10176 Los Angeles CA,-25.98,083122 WellsFargo.pdf,,
2022-08-04,Purchase - Erewhon Market Stuido City CA,-22.11,083122 WellsFargo.pdf,,
2022-08-04,Pwp Quicknode A Privacycom,-99.00,083122 WellsFargo.pdf,,
2022-08-04,Chase Credit Crd Epay,-2030.04,083122 WellsFargo.pdf,,
2022-08-04,Pwp Amazon.Com* Privacycom,-295.42,083122 WellsFargo.pdf,242008.75,
2022-08-05,WT Fed - Jpmorgan Chase Ban - Popstand Inc,6000.00,083122 WellsFargo.pdf,,
2022-08-05,Wire Trans Svc Charge,-15.00,083122 WellsFargo.pdf,,
2022-08-05,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,-14.99,083122 WellsFargo.pdf,,
2022-08-05,Purchase - Uber Trip Help.Uber.Com CA,-9.10,083122 WellsFargo.pdf,,
2022-08-05,Purchase - Uber Trip Help.Uber.Com CA,-8.25,083122 WellsFargo.pdf,,
2022-08-05,So Cal Gas Paid,-42.54,083122 WellsFargo.pdf,247918.87,
2022-08-08,Medium.Com Medium.Com,0.01,083122 WellsFargo.pdf,,
2022-08-08,Purchase - Apple.Com/Bill 866-712-7753 CA,-71.96,083122 WellsFargo.pdf,,
2022-08-08,Purchase - Casa DE Regalos Ventura CA,-30.16,083122 WellsFargo.pdf,,
2022-08-08,Purchase - Wholefds Oxn #1031 Oxnard CA,-36.49,083122 WellsFargo.pdf,,
2022-08-08,Purchase - Tesla Inc Supercha 877-7983752 CA,-12.32,083122 WellsFargo.pdf,,
