Date,Description,Deposits,Withdrawals,Balance,Type,Category,Notes
2022-11-01,Purchase - Apple.Com/Bill 866-712-7753 CA,,74.99,,Debit,,
2022-11-01,Zelle to Ed,,100.0,,Debit,,
2022-11-01,Pwp Dnh*Godaddy Privacycom,,9.63,,Debit,,
2022-11-01,Pwp Github Privacycom,,10.0,,Debit,,
2022-11-01,Pwp Amzn Mktp U Privacycom,,24.66,,Debit,,
2022-11-01,Mortgage Serv CT Mtg Paymt 110122,,5000.0,,Debit,,
2022-11-01,Venmo Payment,,300.0,281771.96,Debit,,
2022-11-02,Withdrawal Made In A Branch/Store,,5000.0,,Debit,,
2022-11-02,Purchase Bank Check OR Draft,,6.0,,Debit,,
2022-11-02,Pwp Amzn Mktp U Privacycom,,13.84,,Debit,,
2022-11-02,Pwp Amzn Mktp U Privacycom,,15.0,,Debit,,
2022-11-02,Pwp Amzn Mktp U Privacycom,,70.58,276666.54,Debit,,
2022-11-03,Purchase - Apple.Com/Bill 866-712-7753 CA,,74.99,,Debit,,
2022-11-03,Purchase - Uber Eats Help.Uber.Com CA,,43.17,,Debit,,
2022-11-03,Purchase - Tesla Inc Supercha 877-7983752 CA,,66.06,,Debit,,
2022-11-03,Chase Credit Crd Epay,,5516.54,270965.78,Debit,,
2022-11-04,Purchase - Kiehl'S-Americana Glendale CA,,306.5,,Debit,,
2022-11-04,Purchase - Trattoria Amici Glendale CA,,117.41,,Debit,,
2022-11-04,Purchase - Laz Parking 670235 Glendale CA,,9.0,,Debit,,
2022-11-04,Purchase - Rumfish Y Vino Ventura CA,,379.37,,Debit,,
2022-11-04,Pwp Amzn Mktp U Privacycom,,15.92,,Debit,,
2022-11-04,Pwp Amzn Mktp U Privacycom,,17.15,,Debit,,
2022-11-04,Pwp Amazon.Com* Privacycom,,21.38,,Debit,,
2022-11-04,So Cal Gas Paid,,25.99,,Debit,,
2022-11-04,Business to Business ACH Debit - Lowes Brc CC Lowtelpay,,1143.27,,Debit,,
2022-11-04,Check #4629,,3210.0,265719.79,Debit,,
2022-11-07,WT Fed - Jpmorgan Chase Ban - Popstand Inc,2500.0,,,Credit,,
2022-11-07,Wire Trans Svc Charge,,15.0,,Debit,,
2022-11-07,Purchase - Tiffany & CO #600 Glendale CA,,633.94,,Debit,,
2022-11-07,Purchase - Ipic Pasadena - Ci Pasadena CA,,56.86,,Debit,,
2022-11-07,Purchase - Laz Parking 670600 Pasadena CA,,8.0,,Debit,,
2022-11-07,Recurring Payment - Apple.Com/Bill 408-974-1010 CA,,14.99,,Debit,,
2022-11-07,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,4.99,,Debit,,
2022-11-07,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,7.99,,Debit,,
2022-11-07,Recurring Payment - Geico *Auto 800-841-3000 DC,,270.08,,Debit,,
2022-11-07,Purchase - Lowe's #1510 Santa Clarita CA,,208.44,,Debit,,
2022-11-07,Purchase - Wholefds Val 101 24130 VA Santa Clarita CA,,373.82,,Debit,,
2022-11-07,Pwp Amzn Mktp U Privacycom,,22.52,,Debit,,
2022-11-07,So Cal Edison CO Bill Paymt,,290.89,266312.27,Debit,,
2022-11-08,Pwp Amzn Mktp U Privacycom,,68.62,,Debit,,
2022-11-08,Pwp Amzn Mktp U Privacycom,,75.04,266168.61,Debit,,
2022-11-09,Medium.Com Medium.Com,0.06,,,Credit,,
2022-11-09,Recurring Payment - Google *Google Sto 855-836-3987 CA,,1.99,,Debit,,
2022-11-09,Purchase - Laz Parking 670602 Pasadena CA,,2.0,,Debit,,
2022-11-09,Purchase - Laz Parking 670600 Pasadena CA,,10.0,,Debit,,
2022-11-09,Purchase - Lowe's #1144 Burbank CA,,10.45,,Debit,,
2022-11-09,Pwp Netflix.Com Privacycom,,15.49,,Debit,,
2022-11-09,Pwp Amzn Mktp U Privacycom,,427.93,265700.81,Debit,,
2022-11-10,Purchase - Apple.Com/Bill 866-712-7753 CA,,43.98,,Debit,,
2022-11-10,Purchase - Apple.Com/Bill 866-712-7753 CA,,2.99,,Debit,,
2022-11-10,Purchase - Tst* Sushi Roku - Pasadena CA,,140.67,,Debit,,
2022-11-10,Purchase - Floor and Decor 22 San Gabriel CA,,1239.4,,Debit,,
2022-11-10,Purchase - Wholefds Pas 10108 Pasadena CA,,34.02,,Debit,,
2022-11-10,Purchase - Tesla Inc Supercha 877-7983752 CA,,19.14,,Debit,,
2022-11-10,Business to Business ACH Debit - Lowes Brc CC Lowtelpay,,86.12,,Debit,,
2022-11-10,Check #4631,,37.97,,Debit,,
2022-11-10,Pwp Heroku Oct- Privacycom,,256.99,263839.53,Debit,,
2022-11-14,Purchase Return - Apple.Com/Bill 866-712-7753 CA,2.49,,,Credit,,
2022-11-14,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,24.99,,Debit,,
2022-11-14,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,4.99,,Debit,,
2022-11-14,Purchase - Floor and Decor 26 Oxnard CA,,76.48,,Debit,,
2022-11-14,Purchase - Wholefds Oxn #1031 Oxnard CA,,33.92,,Debit,,
2022-11-14,Purchase - Tesla Inc Supercha 877-7983752 CA,,7.04,,Debit,,
2022-11-14,Purchase - Sunbelt Rentals 14 Fillmore CA,,1200.0,,Debit,,
2022-11-14,Purchase - Uber Eats Help.Uber.Com CA,,86.68,,Debit,,
2022-11-14,Recurring Payment - Tesla Inc. Palo Alto CA,,9.99,,Debit,,
2022-11-14,Purchase - Wholefds Oks 10204 Thousand Oaks CA,,30.42,,Debit,,
2022-11-14,Purchase - Apple.Com/Bill 866-712-7753 CA,,3.83,,Debit,,
