Date,Description,Deposits,Withdrawals,Balance,Type,Category,Notes
2022-08-01,WT Fed - Jpmorgan Chase Ban - Popstand Inc,3000.0,,,Credit,,
2022-08-01,Wire Trans Svc Charge,,15.0,,Debit,,
2022-08-01,Purchase - Uber Trip Help.Uber.Com CA,,64.2,,Debit,,
2022-08-01,Purchase - Sp Forgotten Runes Merch.Forgott TX,,7.0,,Debit,,
2022-08-01,Purchase - Wholefds Pch 102 760 S SE El Segundo CA,,18.38,,Debit,,
2022-08-01,Purchase - Wholefds Pch 10225 El Segundo CA,,4.08,,Debit,,
2022-08-01,Purchase - Apple.Com/Bill 866-712-7753 CA,,8.97,,Debit,,
2022-08-01,Purchase - Ic* Instacart Httpsinstacar CA,,34.57,,Debit,,
2022-08-01,Pwp Amazon Tips Privacycom,,5.0,,Debit,,
2022-08-01,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-08-01,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-08-01,Pwp Amzn Mktp U Privacycom,,10.66,,Debit,,
2022-08-01,Pwp Amazon.Com* Privacycom,,21.33,,Debit,,
2022-08-01,Pwp Dnh*Godaddy Privacycom,,26.51,,Debit,,
2022-08-01,Pwp Google*Doma Privacycom,,36.0,,Debit,,
2022-08-01,Pwp Amazon.Com* Privacycom,,79.09,,Debit,,
2022-08-01,Pwp Amazon.Com* Privacycom,,92.35,,Debit,,
2022-08-01,Pwp Amzn Mktp U Privacycom,,101.98,252131.58,Debit,,
2022-08-02,Pwp Udemy Subsc Privacycom,,29.99,,Debit,,
2022-08-02,Pwp Dnh*Godaddy Privacycom,,49.99,,Debit,,
2022-08-02,Pwp Amazon.Com* Privacycom,,106.8,,Debit,,
2022-08-02,Mortgage Serv CT Mtg Paymt 080122,,5000.0,,Debit,,
2022-08-02,Pwp Amzn Mktp U Privacycom,,263.81,,Debit,,
2022-08-02,Pwp Heroku May- Privacycom,,278.09,246402.90,Debit,,
2022-08-03,ATM Withdrawal - 10920 Wilshire Blvd Los Angeles CA,,1000.0,,Debit,,
2022-08-03,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-08-03,Pwp Amazon.Com* Privacycom,,64.35,,Debit,,
2022-08-03,Pwp Amzn Mktp U Privacycom,,66.82,245264.73,Debit,,
2022-08-04,Purchase - Geico *Auto 800-841-3000 DC,,270.96,,Debit,,
2022-08-04,Purchase - Airbnb Hmsanhdk5N Airbnb.Com CA,,512.47,,Debit,,
2022-08-04,Purchase - Wholefds Wwd 10176 Los Angeles CA,,25.98,,Debit,,
2022-08-04,Purchase - Erewhon Market Stuido City CA,,22.11,,Debit,,
2022-08-04,Pwp Quicknode A Privacycom,,99.0,,Debit,,
2022-08-04,Chase Credit Crd Epay,,2030.04,,Debit,,
2022-08-04,Pwp Amazon.Com* Privacycom,,295.42,242008.75,Debit,,
2022-08-05,WT Fed - Jpmorgan Chase Ban - Popstand Inc,6000.0,,,Credit,,
2022-08-05,Wire Trans Svc Charge,,15.0,,Debit,,
2022-08-05,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,14.99,,Debit,,
2022-08-05,Purchase - Uber Trip Help.Uber.Com CA,,9.1,,Debit,,
2022-08-05,Purchase - Uber Trip Help.Uber.Com CA,,8.25,,Debit,,
2022-08-05,So Cal Gas Paid,,42.54,247918.87,Debit,,
2022-08-08,Medium.Com Medium.Com,0.01,,,Credit,,
2022-08-08,Purchase - Apple.Com/Bill 866-712-7753 CA,,71.96,,Debit,,
2022-08-08,Purchase - Casa DE Regalos Ventura CA,,30.16,,Debit,,
2022-08-08,Purchase - Wholefds Oxn #1031 Oxnard CA,,36.49,,Debit,,
2022-08-08,Purchase - Tesla Inc Supercha 877-7983752 CA,,12.32,,Debit,,
2022-08-08,Pwp Amazon Tips Privacycom,,10.0,,Debit,,
2022-08-08,Pwp Amazon.Com* Privacycom,,44.94,247713.01,Debit,,
2022-08-09,Pwp Amazon.Com Privacycom,0.99,,,Credit,,
2022-08-09,Purchase - Tst* Boatyard Pub Ventura CA,,111.1,,Debit,,
2022-08-09,Recurring Payment - Google *Google Sto 855-836-3987 CA,,1.99,,Debit,,
2022-08-09,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,27.98,,Debit,,
2022-08-09,Pwp Netflix.Com Privacycom,,15.49,,Debit,,
2022-08-09,So Cal Edison CO Bill Paymt,,328.19,247229.25,Debit,,
2022-08-10,Purchase - Apple.Com/Bill 866-712-7753 CA,,24.99,,Debit,,
2022-08-10,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,4.99,247199.27,Debit,,
2022-08-11,Pwp Heroku Jul- Privacycom,,119.22,,Debit,,
2022-08-11,Pwp Heroku Jul- Privacycom,,123.38,,Debit,,
2022-08-11,Pwp Amazon.Com* Privacycom,,149.13,246807.54,Debit,,
2022-08-12,Purchase - Mk Concessions Pinon Hills CA,,33.0,,Debit,,
2022-08-12,Purchase - Spencer Makenzies Ventura CA,,12.35,,Debit,,
2022-08-12,Purchase - Ventura CO Fair- Ventura CA,,300.0,,Debit,,
2022-08-12,Purchase - Sq *International Rialto CA,,91.16,,Debit,,
2022-08-12,Purchase - Wholefds Oxn #1031 Oxnard CA,,82.55,,Debit,,
2022-08-12,Recurring Payment - Tesla Inc. Palo Alto CA,,9.99,,Debit,,
2022-08-12,Stash Capital (S ACH,,3.0,,Debit,,
2022-08-12,Pwp Amazon Tips Privacycom,,10.0,,Debit,,
2022-08-12,Pwp Dnh*Godaddy Privacycom,,17.99,,Debit,,
2022-08-12,Pwp Amzn Mktp U Privacycom,,257.39,245990.11,Debit,,
2022-08-15,Popstand Inc Payroll,2210.83,,,Credit,,
2022-08-15,Gusto Pay 554882,6454.6,,,Credit,,
2022-08-15,Purchase - Uber Trip Help.Uber.Com CA,,60.75,,Debit,,
2022-08-15,Purchase - Chester Trailer Arroyo Grande CA,,45.0,,Debit,,
2022-08-15,Pwp Amazon Tips Privacycom,,7.0,,Debit,,
2022-08-15,Business to Business ACH Debit - Truebill Premium,,7.0,,Debit,,
2022-08-15,Pwp Amazon.Com* Privacycom,,139.68,,Debit,,
2022-08-15,Wells Fargo Auto Fee & Pmts,,1204.0,253192.11,Debit,,
2022-08-16,Purchase - Uber Trip Help.Uber.Com CA,,64.05,,Debit,,
2022-08-16,Purchase - ATT* Bill Payment 800-331-0500 TX,,137.45,,Debit,,
2022-08-16,Purchase - Apple.Com/Bill 866-712-7753 CA,,7.98,,Debit,,
2022-08-16,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,9.99,,Debit,,
2022-08-16,Purchase - Laz Parking 670600 Pasadena CA,,10.0,,Debit,,
2022-08-16,Pwp Amazon.Com* Privacycom,,135.07,252827.57,Debit,,
2022-08-17,WT Fed - Jpmorgan Chase Ban - Popstand Inc,2000.0,,,Credit,,
2022-08-17,Wire Trans Svc Charge,,15.0,,Debit,,
2022-08-17,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,12.99,,Debit,,
2022-08-17,Purchase - Tst* Sushi Roku - Pasadena CA,,164.11,,Debit,,
2022-08-17,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,4.99,,Debit,,
2022-08-17,Purchase - Wholefds Arr 10237 Pasadena CA,,27.4,,Debit,,
2022-08-17,Purchase - Tesla Inc Supercha 877-7983752 CA,,10.44,,Debit,,
2022-08-17,Pwp Amazon Tips Privacycom,,7.0,254585.64,Debit,,
2022-08-18,Purchase - City Pasadena Pasadena CA,,1.25,,Debit,,
2022-08-18,Purchase - Pasadena Parking - Pasadena CA,,1.0,,Debit,,
2022-08-18,Purchase - Pasadena Parking - Pasadena CA,,3.0,,Debit,,
2022-08-18,Pwp Blink Privacycom,,10.0,254570.39,Debit,,
2022-08-19,Purchase - Pymnts Dapper Online Gbr,,842.41,,Debit,,
2022-08-19,Purchase - Apple.Com/Bill 866-712-7753 CA,,6.99,,Debit,,
2022-08-19,Pwp Amazon.Com* Privacycom,,193.9,253527.09,Debit,,
2022-08-22,Pwp Amazon.Com Privacycom,3.73,,,Credit,,
2022-08-22,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,2.99,,Debit,,
2022-08-22,Recurring Payment - Apple.Com/Bill 866-712-7753 CA,,2.99,,Debit,,
2022-08-22,Recurring Payment - Apple.Com/Bill 408-974-1010 CA,,9.99,,Debit,,
2022-08-22,Purchase - Wholefds Val 10178 Santa Clarita CA,,34.18,,Debit,,
2022-08-22,Purchase - Ikea Burbank Rest Burbank CA,,4.69,,Debit,,
2022-08-22,Purchase - Ikea Burbank Burbank CA,,1046.26,,Debit,,
2022-08-22,Purchase Bank Check OR Draft,,1035.48,,Debit,,
2022-08-22,Purchase - Apple Store #R034 54 Pasadena CA,,581.02,,Debit,,
2022-08-22,Pwp Amazon Tips Privacycom,,10.0,,Debit,,
2022-08-22,Pwp Amzn Mktp U Privacycom,,21.44,,Debit,,
2022-08-22,Pwp Amzn Mktp U Privacycom,,25.9,,Debit,,
2022-08-22,Chase Credit Crd Epay,,3377.99,247377.89,Debit,,
2022-08-23,Purchase - Wholefds Arr 10237 Pasadena CA,,18.93,,Debit,,
