Date,Description,Deposits,Withdrawals,Balance,Type,Category,Notes
2022-01-01,Pwp AMAZON.COM*QM9EH6BI3,,13.12,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-01,Pwp AMZN Mktp US*8820R2183,,8.50,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-01,Pwp AMAZON.COM*197810FZ3,,41.60,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMAZON.COM*PJ6H74FY3 AMZN,,53.81,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMAZON.COM*NG2ZV8OJ3,,230.48,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMZN Mktp US*859GX9RX3,,38.47,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp Amazon.com*WY5OA1IP3,,12.03,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMAZON.COM,230.48,,,Credit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMZN Mktp US*H369C5YK3,,36.12,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMAZON.COM*6L84P2LY3,,32.82,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMZN Mktp US*OD8N31E53,,230.48,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMAZON.COM*WT4PE4IV3,,37.12,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-02,Pwp AMAZON.COM*9V76H7VJ3,,65.69,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-03,Pwp Amazon web services,,19.18,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-03,Pwp PINATA CLOUD,,34.20,,Debit,,Privacy.com card ending 7456 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-03,Pwp AMAZON.COM*6U79P0E43,,20.79,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-03,Pwp AMZN Mktp US*N86PY8RN3,,26.24,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-03,Pwp AMZN Mktp US*NI1ST9WF3,,41.54,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-03,Pwp AMZN Mktp US*UP6AO8DS3,,12.14,,Debit,,Privacy.com card ending 5261 | Source: Privacy.com Statement 2022-01-01 - 2022-12-31.csv | Merged from: 2022_privacy-com_transactions.csv
2022-01-03,Uber Trip Help.Uber.Com CA,,-59.25,,Debit,Transportation,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Uber Eats Help.Uber.Com CA,,-49.77,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Uber Eats 8005928996 CA,,-8.03,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Uber Eats Help.Uber.Com CA,,-44.18,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Instacart Httpsinstacar CA,,-80.00,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Instacart Httpsinstacar CA,,-4.45,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Uber Eats Help.Uber.Com CA,,-27.39,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Uber Eats 8005928996 CA,,-5.97,,Debit,Food,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Payment for Amz Storecard 123021 xxxxx1871,,-93.13,,Debit,Credit Card Payment,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Pwp Apple.Com/B Privacycom TN: 1170579,,-4.98,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Pwp Amzn Mktp U Privacycom TN: 1412233,,-8.50,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Pwp Dnh*Godaddy Privacycom TN: 2863985,,-9.03,,Debit,Services,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Pwp Amazon.Com* Privacycom TN: 4454793,,-13.12,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Pwp Amazon.Com* Privacycom TN: 5216067,,-32.82,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Pwp Amazon.Com* Privacycom TN: 3114085,,-37.12,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
2022-01-03,Pwp Amazon.Com* Privacycom TN: 9730906,,-41.60,,Debit,Shopping,Merged from: 2022-01_wells-fargo_checking.csv
