Date,Merchant,Amount,Business_Purpose,Deductible_100%
2022-01-03,Purchase authorized on 12/31 Uber Eats Help.Uber.Com CA S462001011006419 Card 6470,$49.77,,
2022-01-03,Purchase authorized on 12/31 Uber Eats 8005928996 CA S382001068848877 Card 6470,$8.03,,
2022-01-03,Purchase authorized on 01/01 Uber Eats Help.Uber.Com CA S382001842022199 Card 6470,$44.18,,
2022-01-03,Purchase authorized on 01/01 Instacart Httpsinstacar CA S462001844587969 Card 6470,$80.00,,
2022-01-03,Purchase authorized on 01/01 Instacart Httpsinstacar CA S462002013712178 Card 6470,$4.45,,
2022-01-03,Purchase authorized on 01/02 Uber Eats Help.Uber.Com CA S302002858838218 Card 6470,$27.39,,
2022-01-03,Purchase authorized on 01/02 Uber Eats 8005928996 CA S382003052684353 Card 6470,$5.97,,
2022-01-04,Purchase authorized on 01/03 Wholefds Oxn #1031 Oxnard CA S382004184256470 Card 6470,$19.08,,
2022-01-05,Purchase authorized on 01/04 Instacart Httpsinstacar CA S302005091923800 Card 6470,$22.96,,
2022-01-06,Purchase authorized on 01/04 Uber Eats Help.Uber.Com CA S582005237628644 Card 6470,$11.94,,
2022-01-10,Purchase authorized on 01/08 Uber Eats Help.Uber.Com CA S302008320485075 Card 6470,$11.94,,
2022-01-10,Purchase authorized on 01/08 Wholefds Oxn #1031 Oxnard CA S382008842292173 Card 6470,$25.18,,
2022-01-10,Purchase authorized on 01/08 Wholefds Oxn #1031 Oxnard CA S382009138537179 Card 6470,$17.24,,
2022-01-10,Purchase authorized on 01/09 Uber Eats Help.Uber.Com CA S462009801898475 Card 6470,$23.39,,
2022-01-10,Purchase authorized on 01/09 Uber Eats Help.Uber.Com CA S462010129830887 Card 6470,$44.99,,
2022-01-10,Purchase authorized on 01/09 Uber Eats 8005928996 CA S382010183684079 Card 6470,$9.70,,
2022-01-12,Purchase authorized on 01/10 Uber Eats Help.Uber.Com CA S462011222394075 Card 6470,$35.42,,
2022-01-12,Purchase authorized on 01/11 Wholefds Oks 10204 Thousand Oaks CA S382012178394002 Card 6470,$76.64,,
2022-01-13,Purchase authorized on 01/12 Uber Eats Help.Uber.Com CA S582012857978921 Card 6470,$106.93,,
2022-01-18,Recurring Payment authorized on 01/16 Instacart*Subscrip Httpsinstacar CA S582016335695970 Card 6470,$99.00,,
2022-01-18,Purchase authorized on 01/18 Erewhon Venice Venice CA P382019015503676 Card 6470,$22.63,,
2022-01-19,Purchase authorized on 01/18 Wholefds Hol 10109 West Hollywoo CA S462019134311117 Card 6470,$21.45,,
2022-01-20,Purchase authorized on 01/19 Uber Eats Help.Uber.Com CA S462020139008407 Card 6470,$54.82,,
2022-01-24,Purchase authorized on 01/22 Wholefds Ven 10333 Venice CA S462023091799793 Card 6470,$44.98,,
2022-01-31,Purchase authorized on 01/29 Uber Eats Help.Uber.Com CA S382029831155989 Card 6470,$81.48,,
2022-01-31,Purchase authorized on 01/30 Uber Eats Help.Uber.Com CA S462031097501403 Card 6470,$57.11,,
2022-02-01,Purchase authorized on 01/31 Uber Eats Help.Uber.Com CA S302031767369925 Card 6470,$128.99,,
2022-02-08,Purchase authorized on 02/07 Wholefds Val 10178 Santa Clarita CA S382038801236502 Card 6470,$29.35,,
2022-02-14,Purchase authorized on 02/12 Uber Eats Help.Uber.Com CA S382043708212522 Card 6470,$155.23,,
2022-02-15,Purchase authorized on 02/13 Uber Eats Help.Uber.Com CA S302044791610180 Card 6470,$87.88,,
2022-02-16,Purchase authorized on 02/15 Wholefds Val 10178 Santa Clarita CA S462047122983993 Card 6470,$36.59,,
2022-02-17,Purchase authorized on 02/16 Wholefds Val 10178 Santa Clarita CA S382047767697227 Card 6470,$9.49,,
2022-02-17,Purchase authorized on 02/16 Wholefds Val 10178 Santa Clarita CA S382047801339659 Card 6470,$3.65,,
2022-02-22,Purchase authorized on 02/18 Wholefds Val 10178 Santa Clarita CA S462049650471219 Card 6470,$12.83,,
2022-02-22,Purchase authorized on 02/18 Wholefds Val 10178 Santa Clarita CA S462049711366752 Card 6470,$3.69,,
2022-02-22,Purchase authorized on 02/18 Marmalade Cafe She Sherman Oaks CA S582050233177168 Card 6470,$64.73,,
2022-02-22,Purchase authorized on 02/19 Uber Eats Help.Uber.Com CA S582050817969114 Card 6470,$59.71,,
