
deduction_name,amount_or_percentage,source_link
"SEP‑IRA contributions (retroactive plan for 2022)","Potential deduction up to $41,142 (25% of $164,567 net self‑employment income) if W‑2 wages exist; contributions can be made for 2022 by the tax return due date (including extensions).","https://www.irs.gov/retirement-plans/retirement-plans-faqs-regarding-seps#:~:text=Is%20there%20a%20deadline%20to,set%20up%20a%20SEP"
"Solo 401(k) contributions (employee and employer)","Employee deferral limit $20,500 less $9,000 already contributed (remaining $11,500) plus employer profit‑sharing up to 25% of compensation; total 2022 cap $61,000; potential deduction about $52,642 if compensation of $164,567.","www.mysolo401k.net/wp-content/uploads/2023/01/2022-2023-Solo-401k-Contribution-Guide-S-Corporation-C-corporation-LLC-taxed-as-S-corp-C-corp.pdf#:~:text=Employee%20Contribution%20,which%20contributions%20are%20not%20aggregated"
"Business mileage (home office to temporary office)","If your home is your principal place of business, travel from home to another work location is deductible. Using 3,900 miles (2 trips/week Oct–Dec) at the 2022 rate of 62.5¢ per mile yields a deduction of $2,437.50.","www.irs.gov/pub/irs-prior/p463--2022.pdf#:~:text=exceptions%20to%20this%20general%20rule,less%20of%20the%20distance"
"Home office depreciation (39‑year MACRS)","Home office portion depreciated as nonresidential real property over 39 years. With a building value of $600,000 and business use of 15.2%, annual depreciation is about $2,339.","https://www.irs.gov/publications/p587#:~:text=the%20business%20part%20as%20nonresidential,946"
"Section 179 deduction","Section 179 allows immediate expensing of up to $1,080,000 of qualified property in 2022 (reduced when total property exceeds $2,700,000). For $2,000 of business equipment, the deduction is $2,000.","www.irs.gov/pub/irs-prior/p463--2022.pdf#:~:text=you%20placed%20in%20service%20in,plained%20in%20chapter%204"
"Bonus depreciation (100% for 2022)","Qualified property placed in service in 2022 can claim a 100% special depreciation allowance (bonus depreciation) for the entire cost. For $3,000 of equipment, the deduction is $3,000.","www.irs.gov/pub/irs-prior/p946--2022.pdf#:~:text=You%20can%20elect%20to%20take,production%20period%20and%20for%20certain"
"Business meals (restaurant meals)","For amounts paid or incurred after 31 Dec 2020 and before 1 Jan 2023, the 50% limit on meal deductions doesn’t apply to food or beverages from a restaurant, making them 100% deductible. For $1,000 of meals, the deduction is $1,000.","www.irs.gov/pub/irs-drop/n-21-25.pdf#:~:text=Pursuant%20to%20%C2%A7%20274,this%20purpose%2C%20the%20term%20%E2%80%9Crestaurant%E2%80%9D"
"Cell phone business use","Cell phones are no longer listed property; business use of an employer‑provided cell phone is excludable as a working condition fringe. Deductible portion equals the business‑use percentage—e.g., 60% of a $1,483.41 phone bill ≈ $890.","www.irs.gov/pub/irs-drop/n-11-72.pdf#:~:text=The%20Act%20removed%20cell%20phones,beginning%20after%20December%2031%2C%202009"
"Professional development (work‑related education)","Work‑related education that maintains or improves skills or is required by your employer is deductible; expenses can include tuition, books, supplies and travel. Assuming $1,000 in courses and materials, the deduction is $1,000.",""
"Bank/wire transfer fees","Ordinary and necessary fees on a business bank account are deductible. For 38 wire transfers at ~$25 each, the total deduction is about $950.","https://www.keepertax.com/posts/are-bank-fees-tax-deductible#:~:text=When%20can%20you%20deduct%20your,fees%20as%20a%20business%20expense"
"Homeowners insurance (business portion)","Expenses for insurance on your home are deductible to the extent of business use. At 15.2% business use and an annual premium of $1,500, the deductible portion is about $228.","https://www.irs.gov/taxtopics/tc509#:~:text=Deductible%20expenses%20for%20business%20use,used%20for%20business%2C%20for%20example"
"Utilities (business portion)","The business portion of utilities (electricity, gas, water, trash) is deductible. Using 15.2% business use, the 2022 allocation is about $456.","https://www.irs.gov/taxtopics/tc509#:~:text=Deductible%20expenses%20for%20business%20use,used%20for%20business%2C%20for%20example"
