Order Date,Product Name,Price,Invoice Link,Business,Notes
2023-01-09,xydled Door Drop Box for Mail 15"x12"x6",$84.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-4848673-2621033,N,Personal - home
2023-01-24,Nelson Wood Shims 8-Inch (x2),$10.56,https://www.amazon.com/gp/css/summary/print.html?orderID=113-3737636-6877059,N,Personal - home
2023-01-24,USX MOUNT Full Motion TV Wall Mount 47-84 inch,$44.76,https://www.amazon.com/gp/css/summary/print.html?orderID=113-2371099-3601851,N,Personal - home
2023-01-24,Amazon Basics Non-Stick Cookware Set 15-Piece,$67.47,https://www.amazon.com/gp/css/summary/print.html?orderID=113-6715818-0649807,N,Personal - kitchen
2023-01-24,Amazon Basics 12-Piece Kitchen Knife Set,$19.30,https://www.amazon.com/gp/css/summary/print.html?orderID=113-6715818-0649807,N,Personal - kitchen
2023-01-24,SCHVUBENR Premium Pizza Cutter,$5.95,https://www.amazon.com/gp/css/summary/print.html?orderID=113-5373427-1978634,N,Personal - kitchen
2023-02-02,CALTO Half Elevator Insole 1/2 Inch (2 Pack),$8.49,https://www.amazon.com/gp/css/summary/print.html?orderID=113-3105337-6944251,N,Personal - clothing
2023-02-02,Bounce Dryer Sheets Free & Gentle,$9.94,https://www.amazon.com/gp/css/summary/print.html?orderID=113-3607584-5321817,N,Personal - household
2023-02-02,Scotch-Brite Non-Scratch Dishwand,$3.33,https://www.amazon.com/gp/css/summary/print.html?orderID=113-3607584-5321817,N,Personal - household
2023-02-02,Glad ForceFlex Tall Kitchen Trash Bags 110 Ct,$21.98,https://www.amazon.com/gp/css/summary/print.html?orderID=113-3607584-5321817,N,Personal - household
2023-02-11,Hasbro Gaming Clue Harry Potter Edition,$38.72,https://www.amazon.com/gp/css/summary/print.html?orderID=113-1615821-3365006,N,Personal - entertainment
2023-02-11,Newsely Retro 70s 60s Hippie Mushroom Shower Curtain,$15.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-9281065-8915408,N,Personal - home
2023-02-12,Seagate Portable 1TB External Hard Drive,$49.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-4522667-4117847,Y,Business - data storage (pre-incorporation)
2023-02-13,4 Pack Stainless Steel Woven Wire Mesh Screen,$8.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-8040053-9361066,N,Personal - home
2023-02-13,OOK 12 Gauge Steel Galvanized Wire 100 ft 2-Pack,$24.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-8040053-9361066,N,Personal - home
2023-02-13,Atwfo Men's Hawaiian Shirt and Short 2 Piece Set,$32.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-8040053-9361066,N,Personal - clothing
2023-02-13,Valchoose 5" X 50 Ft Wire Mesh Hole Fill Fabric,$15.87,https://www.amazon.com/gp/css/summary/print.html?orderID=113-8040053-9361066,N,Personal - home
2023-02-13,maamgic Mens Beach Wear Shark Swim Trunks,$19.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-8040053-9361066,N,Personal - clothing
2023-02-13,Countertop Support Bracket 2 Pack 16"x6"x2.5",$64.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-8040053-9361066,N,Personal - home
2023-02-13,Maytex Rust-Resistant Shower Rings Set of 12,$5.45,https://www.amazon.com/gp/css/summary/print.html?orderID=113-9485826-1289022,N,Personal - home
2023-02-13,Barossa Design Shower Curtain Liner 60x72,$12.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-9485826-1289022,N,Personal - home
2023-02-18,Judas Priest Wireframe Defenders T-Shirt,$24.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-8462440-1404211,N,Personal - clothing
2023-02-25,Diwhy Industrial Vintage Bar Stool Set of 2,$145.00,https://www.amazon.com/gp/css/summary/print.html?orderID=113-5294883-2744210,N,Personal - furniture
2023-02-27,Shoe Charms 100pcs Random PVC,$15.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-6739553-0030634,N,Personal - accessories
2023-02-27,Yes4All Powder Coated Kettlebell 44lb,$51.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-6739553-0030634,N,Personal - fitness
2023-03-04,Learn Three.js: Program 3D animations 4th Edition,$44.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-1646570-9901048,Y,Business - professional development (pre-incorporation)
2023-03-06,Goldblatt 2 Pack Panel Carrier,$49.99,https://www.amazon.com/gp/css/summary/print.html?orderID=113-9621423-4082624,N,Personal - home/DIY
