Date,Description,Amount,Source,Balance,Notes
2022-02-01,Beginning Balance,,022822 WellsFargo.pdf,181331.57,
2022-02-01,Uber Eats Help.Uber.Com CA,-128.99,022822 WellsFargo.pdf,,
2022-02-01,Pwp Amzn Mktp U Privacycom TN: 7797108,-41.80,022822 WellsFargo.pdf,,
2022-02-01,Pwp Amazon.Com* Privacycom TN: 1154201,-44.98,022822 WellsFargo.pdf,181115.80,
2022-02-02,Paypal *Gracelandr 402-935-7733 CA,-7140.91,022822 WellsFargo.pdf,,
2022-02-02,Pwp Amazon.Com* Privacycom TN: 9452811,-10.48,022822 WellsFargo.pdf,,
2022-02-02,Pwp Amzn Mktp U Privacycom TN: 3579224,-19.29,022822 WellsFargo.pdf,173945.12,
2022-02-03,Uber Trip Help.Uber.Com CA,-62.08,022822 WellsFargo.pdf,,
2022-02-03,Uber *Trip Help.Ub 800-5928996 CA,-74.55,022822 WellsFargo.pdf,,
2022-02-03,Pwp Amzn Mktp U Privacycom TN: 2671145,-107.20,022822 WellsFargo.pdf,173701.29,
2022-02-04,WT Fed#01067 Jpmorgan Chase Ban /Org=Popstand Inc,2000.00,022822 WellsFargo.pdf,,
2022-02-04,Wire Trans Svc Charge - Sequence: 220204164768,-15.00,022822 WellsFargo.pdf,,
2022-02-04,Geico *Auto 800-841-3000 DC,-294.48,022822 WellsFargo.pdf,,
2022-02-04,The Home Depot #66 Simi Valley CA,-418.10,022822 WellsFargo.pdf,,
2022-02-04,Ikea.Com 405593931 888-434-4532 MD,-108.86,022822 WellsFargo.pdf,,
2022-02-04,Pwp Amazon Web Privacycom TN: 6928258,-19.18,022822 WellsFargo.pdf,,
2022-02-04,Pwp Pinata Clou Privacycom TN: 1736746,-37.60,022822 WellsFargo.pdf,174808.07,
2022-02-07,Medium.Com Medium.Com St-W4P4B8F7U2Q6,-0.03,022822 WellsFargo.pdf,,
2022-02-07,WT Fed#04127 Jpmorgan Chase Ban /Org=Popstand Inc,2000.00,022822 WellsFargo.pdf,,
2022-02-07,Wire Trans Svc Charge - Sequence: 220207048930,-15.00,022822 WellsFargo.pdf,,
2022-02-07,Homedepot.Com 800-430-3376 GA,-6.70,022822 WellsFargo.pdf,,
2022-02-07,Homedepot.Com 800-430-3376 GA,-16.22,022822 WellsFargo.pdf,,
2022-02-07,Homedepot.Com 800-430-3376 GA,-17.14,022822 WellsFargo.pdf,,
2022-02-07,Uber *Eats Help.Ub 800-5928996 CA,-78.08,022822 WellsFargo.pdf,,
2022-02-07,Uber *Trip Help.Ub 800-5928996 CA,-68.54,022822 WellsFargo.pdf,,
2022-02-07,Uber *Trip Help.Ub 800-5928996 CA,-73.84,022822 WellsFargo.pdf,,
2022-02-07,Uber *Eats Help.Ub 800-5928996 CA,-61.13,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amazon.Com* Privacycom TN: 2169195,-13.07,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amazon.Com* Privacycom TN: 1641550,-14.00,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amzn Mktp U Privacycom TN: 7937859,-19.29,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amzn Mktp U Privacycom TN: 8723136,-21.44,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amzn Mktp U Privacycom TN: 1686640,-30.28,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amazon.Com* Privacycom TN: 1308606,-48.25,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amzn Mktp U Privacycom TN: 3285650,-49.28,022822 WellsFargo.pdf,,
2022-02-07,So Cal Gas Paid Scgc 220204,-71.06,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amzn Mktp U Privacycom TN: 5829595,-97.48,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amzn Mktp U Privacycom TN: 9251053,-150.12,022822 WellsFargo.pdf,,
2022-02-07,Pwp Amzn Mktp U Privacycom TN: 2591198,-327.99,022822 WellsFargo.pdf,,
2022-02-07,Chase Credit Crd Epay 220204,-901.87,022822 WellsFargo.pdf,174727.32,
2022-02-08,Wholefds Val 10178 Santa Clarita CA,-29.35,022822 WellsFargo.pdf,,
2022-02-08,Pwp Amzn Mktp U Privacycom TN: 9482174,-11.25,022822 WellsFargo.pdf,,
2022-02-08,Pwp Amzn Mktp U Privacycom TN: 7282117,-49.32,022822 WellsFargo.pdf,174637.40,
2022-02-09,WT Fed#02752 Hsbc Bank USA /Org=Harry Winston Inc,58987.50,022822 WellsFargo.pdf,,
2022-02-09,Wire Trans Svc Charge - Sequence: 220209121850,-15.00,022822 WellsFargo.pdf,,
2022-02-09,Recurring Payment authorized on 02/07 Apple.Com/Bill,-0.99,022822 WellsFargo.pdf,,
2022-02-09,Recurring Payment authorized on 02/07 Apple.Com/Bill,-14.99,022822 WellsFargo.pdf,,
2022-02-09,Recurring Payment authorized on 02/07 Apple.Com/Bill,-7.99,022822 WellsFargo.pdf,,
2022-02-09,Apple.Com/Bill 866-712-7753 CA,-29.99,022822 WellsFargo.pdf,,
2022-02-09,Apple.Com/Bill 800-275-2273 CA,-74.99,022822 WellsFargo.pdf,,
2022-02-09,Apple.Com/Bill 866-712-7753 CA,-39.99,022822 WellsFargo.pdf,,
2022-02-09,Amazon.Com*Nb2Ys49 Amzn.Com/Bill WA,-73.69,022822 WellsFargo.pdf,233367.27,
